熱點類別,熱點名稱,熱點分類,建置年度,行政區,行政里,地址,熱點緯度(Latitude),熱點經度(Longitude)
tainan熱點,七股區衛生所,行政機關,103,七股區,大埕里,724臺南市七股區大埕里379號,23.1453614,120.144496
tainan熱點,下營區公所,行政機關,102,下營區,下營里,735臺南市下營區下營里中山路一段170號,23.2358075,120.2645709
tainan熱點,下營區衛生所,行政機關,103,下營區,營前里,735臺南市下營區營前里中山路2段137號,23.2257999,120.2666234
tainan熱點,大內區公所,行政機關,102,大內區,大內里,742臺南市大內區大內里1號,23.1195988,120.3622866
tainan熱點,大內區衛生所,行政機關,103,大內區,大內里,742臺南市大內區大內里2號,23.118461,120.362049
tainan熱點,山上區公所,行政機關,102,山上區,南洲里,743臺南市山上區南洲里325號,23.0958254,120.3478746
tainan熱點,山上區衛生所,行政機關,103,山上區,山上里,743臺南市山上區山上里35-2號,23.101435,120.3594043
tainan熱點,中西區公所,行政機關,102,中西區,銀同里,700臺南市中西區銀同里開山路1號,22.9922404,120.2055998
tainan熱點,中西區衛生所,行政機關,103,中西區,安海里,700臺南市中西區安海里環河街94號,22.995876,120.192395
tainan熱點,仁德區公所,行政機關,102,仁德區,仁德里,717臺南市仁德區仁德里中正路三段5號,22.9919824,120.2565195
tainan熱點,仁德區衛生所,行政機關,103,仁德區,仁德里,717臺南市仁德區仁德里中山路606巷2號,22.9720939,120.2512429
tainan熱點,六甲區公所,行政機關,102,六甲區,水林里,734臺南市六甲區水林里中山路202號,23.2323424,120.3446554
tainan熱點,六甲區衛生所,行政機關,103,六甲區,二甲里,734臺南市六甲區二甲里中華路110號,23.2245644,120.347393
tainan熱點,北門區公所,行政機關,102,北門區,北門里,727臺南市北門區北門里108號,23.2661521,120.125729
tainan熱點,北門區衛生所,行政機關,103,北門區,永隆里,727臺南市北門區永隆里港北50號,23.2710919,120.121338
tainan熱點,北區區公所,行政機關,102,北區,五福里,704臺南市北區五福里成功路238巷7號,22.9995792,120.2029467
tainan熱點,北區衛生所,行政機關,103,北區,公園里,704臺南市北區公園里西華街50號,23.0001146,120.2108379
tainan熱點,左鎮區公所,行政機關,102,左鎮區,中正里,713臺南市左鎮區中正里171-4號,23.0679769,120.409835
tainan熱點,左鎮區衛生所,行政機關,103,左鎮區,中正里,713臺南市左鎮區中正里172-15號,23.0679769,120.409835
tainan熱點,永康區公所,行政機關,102,永康區,永康里,710臺南市永康區永康里中山南路655號,23.0262698,120.2568896
tainan熱點,永康區衛生所,行政機關,103,永康區,永康里,710臺南市永康區永康里文化路51號,23.016505,120.26125
tainan熱點,玉井區公所,行政機關,102,玉井區,玉井里,714臺南市玉井區玉井里中正路27號,23.1218932,120.4593369
tainan熱點,玉井區衛生所,行政機關,103,玉井區,玉田里,714臺南市玉井區玉田里中正路5號,23.1212257,120.4590784
